country,country_name,iso_code3,unfccc_group
Austria,Austria,AUT,UNFCCC Annex I
Belgium,Belgium,BEL,UNFCCC Annex I
Bulgaria,Bulgaria,BGR,UNFCCC Annex I
Croatia,Croatia,HRV,UNFCCC Annex I
Cyprus,Cyprus,CYP,UNFCCC Annex I
Czechia,Czech Republic,CZE,UNFCCC Annex I
Denmark,Denmark,DNK,UNFCCC Annex I
Estonia,Estonia,EST,UNFCCC Annex I
Finland,Finland,FIN,UNFCCC Annex I
France,France,FRA,UNFCCC Annex I
Germany,Germany,DEU,UNFCCC Annex I
Greece,Greece,GRC,UNFCCC Annex I
Hungary,Hungary,HUN,UNFCCC Annex I
Ireland,Ireland,IRL,UNFCCC Annex I
Italy,Italy,ITA,UNFCCC Annex I
Latvia,Latvia,LVA,UNFCCC Annex I
Lithuania,Lithuania,LTU,UNFCCC Annex I
Luxembourg,Luxembourg,LUX,UNFCCC Annex I
Malta,Malta,MLT,UNFCCC Annex I
Netherlands,Netherlands,NLD,UNFCCC Annex I
Poland,Poland,POL,UNFCCC Annex I
Portugal,Portugal,PRT,UNFCCC Annex I
Romania,Romania,ROU,UNFCCC Annex I
Slovakia,Slovakia,SVK,UNFCCC Annex I
Slovenia,Slovenia,SVN,UNFCCC Annex I
Spain,Spain,ESP,UNFCCC Annex I
Sweden,Sweden,SWE,UNFCCC Annex I